x,y,z 
0.0,0.0,0.0
0.25,0.1,0.04
0.5,0.19,0.08
0.75,0.28,0.11
0.99,0.37,0.15
1.24,0.46,0.19
1.48,0.55,0.22
1.72,0.64,0.26
1.96,0.73,0.3
2.2,0.82,0.33
2.44,0.9,0.36
2.67,0.99,0.4
2.91,1.07,0.43
3.14,1.16,0.46
3.37,1.24,0.5
3.61,1.32,0.53
3.83,1.4,0.56
4.06,1.48,0.59
4.29,1.56,0.62
4.52,1.64,0.65
4.74,1.72,0.68
4.96,1.79,0.71
5.19,1.87,0.74
5.41,1.94,0.77
5.63,2.02,0.8
5.85,2.09,0.82
6.06,2.16,0.85
6.28,2.23,0.88
6.49,2.3,0.9
6.71,2.37,0.93
6.92,2.44,0.95
7.13,2.51,0.98
7.34,2.58,1.0
7.55,2.64,1.03
7.76,2.71,1.05
7.97,2.77,1.07
8.17,2.84,1.09
8.38,2.9,1.12
8.58,2.96,1.14
8.78,3.02,1.16
8.98,3.09,1.18
9.18,3.15,1.2
9.38,3.2,1.22
9.58,3.26,1.24
9.78,3.32,1.26
9.97,3.38,1.28
10.17,3.43,1.3
10.36,3.49,1.32
10.56,3.55,1.33
10.75,3.6,1.35
10.94,3.65,1.37
11.13,3.71,1.39
11.32,3.76,1.4
11.51,3.81,1.42
11.7,3.86,1.43
11.88,3.91,1.45
12.07,3.96,1.47
12.25,4.01,1.48
12.44,4.06,1.49
12.62,4.11,1.51
12.8,4.16,1.52
12.99,4.2,1.54
13.17,4.25,1.55
13.35,4.3,1.56
13.53,4.34,1.58
13.71,4.39,1.59
13.88,4.43,1.6
14.06,4.48,1.61
14.24,4.52,1.63
14.41,4.56,1.64
14.59,4.61,1.65
14.77,4.65,1.66
14.94,4.69,1.67
15.11,4.73,1.68
15.29,4.77,1.69
15.46,4.81,1.7
15.63,4.86,1.71
15.8,4.9,1.72
15.98,4.94,1.73
16.15,4.97,1.74
16.32,5.01,1.75
16.49,5.05,1.76
16.66,5.09,1.77
16.83,5.13,1.78
17.0,5.17,1.79
17.16,5.21,1.8
17.33,5.24,1.81
17.5,5.28,1.81
17.67,5.32,1.82
17.84,5.36,1.83
18.0,5.39,1.84
18.17,5.43,1.85
18.34,5.47,1.86
18.51,5.5,1.86
18.67,5.54,1.87
18.84,5.58,1.88
19.01,5.61,1.89
19.17,5.65,1.9
19.34,5.69,1.9
19.5,5.72,1.91
19.67,5.76,1.92
19.92,5.81,1.94
20.17,5.86,1.96
20.43,5.91,1.98
20.68,5.96,2.0
20.93,6.01,2.02
21.18,6.06,2.04
21.43,6.11,2.06
21.68,6.16,2.08
21.93,6.21,2.1
22.17,6.25,2.12
22.42,6.3,2.14
22.67,6.34,2.16
22.92,6.38,2.18
23.17,6.43,2.2
23.41,6.47,2.21
23.66,6.51,2.23
23.9,6.55,2.25
24.15,6.59,2.27
24.4,6.63,2.29
24.64,6.67,2.31
24.88,6.71,2.32
25.13,6.74,2.34
25.37,6.78,2.36
25.62,6.81,2.38
25.86,6.85,2.39
26.1,6.88,2.41
26.34,6.91,2.43
26.58,6.94,2.45
26.82,6.97,2.46
27.07,7.0,2.48
27.31,7.03,2.5
27.54,7.06,2.51
27.78,7.09,2.53
28.02,7.11,2.54
28.26,7.14,2.56
28.5,7.16,2.58
28.74,7.18,2.59
28.97,7.21,2.61
29.21,7.23,2.62
29.45,7.25,2.64
29.68,7.27,2.65
29.92,7.29,2.67
30.15,7.3,2.68
30.39,7.32,2.7
30.62,7.34,2.71
30.85,7.35,2.72
31.08,7.37,2.74
31.32,7.38,2.75
31.55,7.39,2.77
31.78,7.4,2.78
32.01,7.41,2.79
32.24,7.42,2.81
32.47,7.43,2.82
32.7,7.44,2.83
32.93,7.44,2.84
33.16,7.45,2.86
33.39,7.45,2.87
33.61,7.46,2.88
33.84,7.46,2.89
34.07,7.46,2.91
34.29,7.46,2.92
34.52,7.46,2.93
34.74,7.46,2.94
34.97,7.45,2.95
35.19,7.45,2.96
35.41,7.44,2.97
35.64,7.44,2.98
35.86,7.43,2.99
36.08,7.42,3.01
36.3,7.41,3.02
36.52,7.4,3.03
36.74,7.39,3.04
36.96,7.38,3.04
37.18,7.37,3.05
37.4,7.35,3.06
37.62,7.34,3.07
37.83,7.32,3.08
38.05,7.3,3.09
38.27,7.28,3.1
38.48,7.26,3.11
38.7,7.24,3.12
38.91,7.22,3.12
39.13,7.2,3.13
39.34,7.17,3.14
39.55,7.15,3.15
39.77,7.12,3.15
39.98,7.09,3.16
40.19,7.07,3.17
40.4,7.04,3.17
40.61,7.0,3.18
40.82,6.97,3.19
41.03,6.94,3.19
41.24,6.91,3.2
41.45,6.87,3.21
41.65,6.83,3.21
41.86,6.8,3.22
42.07,6.76,3.22
42.27,6.72,3.23
42.48,6.68,3.23
42.68,6.63,3.24
42.89,6.59,3.24
43.09,6.55,3.25
43.29,6.5,3.25
43.5,6.45,3.25
43.7,6.41,3.26
43.9,6.36,3.26
44.1,6.31,3.26
44.3,6.25,3.27
44.5,6.2,3.27
44.7,6.15,3.27
44.9,6.09,3.28
45.09,6.04,3.28
45.29,5.98,3.28
45.49,5.92,3.28
45.68,5.86,3.28
45.88,5.8,3.28
46.07,5.74,3.29
46.27,5.68,3.29
46.46,5.61,3.29
46.65,5.55,3.29
46.85,5.48,3.29
47.04,5.41,3.29
47.23,5.34,3.29
47.42,5.27,3.29
47.61,5.2,3.29
47.8,5.13,3.29
47.99,5.06,3.29
48.18,4.98,3.29
48.36,4.9,3.29
48.55,4.83,3.29
48.74,4.75,3.29
48.92,4.67,3.28
49.11,4.59,3.28
49.29,4.51,3.28
49.48,4.42,3.28
49.66,4.34,3.28
49.84,4.25,3.27
50.03,4.17,3.27
50.21,4.08,3.27
50.39,3.99,3.26
50.57,3.9,3.26
50.75,3.81,3.26
50.93,3.71,3.25
51.11,3.62,3.25
51.29,3.53,3.24
51.46,3.43,3.24
51.64,3.33,3.24
51.82,3.23,3.23
51.99,3.13,3.23
52.17,3.03,3.22
52.34,2.93,3.22
52.52,2.83,3.21
52.69,2.72,3.2
52.86,2.61,3.2
53.03,2.51,3.19
53.21,2.4,3.19
53.38,2.29,3.18
53.55,2.18,3.17
53.72,2.07,3.17
53.89,1.95,3.16
54.05,1.84,3.15
54.22,1.72,3.14
54.39,1.61,3.14
54.56,1.49,3.13
54.72,1.37,3.12
54.89,1.25,3.11
55.05,1.13,3.1
55.22,1.0,3.09
55.38,0.88,3.09
55.55,0.76,3.08
55.71,0.63,3.07
55.87,0.5,3.06
56.03,0.37,3.05
56.19,0.24,3.04
56.35,0.11,3.03
56.51,-0.02,3.02
56.67,-0.15,3.01
56.83,-0.29,3.0
56.99,-0.42,2.98
57.14,-0.56,2.97
57.3,-0.7,2.96
57.46,-0.84,2.95
57.61,-0.98,2.94
57.77,-1.12,2.93
57.92,-1.26,2.92
58.08,-1.41,2.9
58.23,-1.55,2.89
58.38,-1.7,2.88
58.53,-1.85,2.86
58.68,-1.99,2.85
58.84,-2.14,2.84
58.99,-2.29,2.82
59.14,-2.45,2.81
59.28,-2.6,2.8
59.43,-2.75,2.78
59.58,-2.91,2.77
59.73,-3.07,2.75
59.88,-3.22,2.74
60.02,-3.38,2.73
60.17,-3.54,2.71
60.31,-3.7,2.7
60.46,-3.87,2.68
60.6,-4.03,2.66
60.74,-4.19,2.65
60.89,-4.36,2.63
61.03,-4.53,2.62
61.17,-4.7,2.6
61.31,-4.86,2.58
61.45,-5.03,2.57
61.59,-5.21,2.55
61.73,-5.38,2.53
61.87,-5.55,2.52
62.01,-5.73,2.5
62.15,-5.9,2.48
62.29,-6.08,2.46
62.42,-6.26,2.45
62.56,-6.44,2.43
62.69,-6.62,2.41
62.83,-6.8,2.39
62.96,-6.98,2.37
63.1,-7.16,2.35
63.23,-7.35,2.33
63.36,-7.53,2.31
63.5,-7.72,2.3
63.63,-7.91,2.28
63.76,-8.1,2.26
63.89,-8.29,2.24
64.02,-8.48,2.22
64.15,-8.67,2.2
64.28,-8.86,2.18
64.41,-9.06,2.15
64.54,-9.25,2.13
64.67,-9.45,2.11
64.79,-9.64,2.09
64.92,-9.84,2.07
65.05,-10.04,2.05
65.17,-10.24,2.03
65.3,-10.44,2.01
65.42,-10.64,1.98
65.55,-10.85,1.96
65.67,-11.05,1.94
65.79,-11.26,1.92
65.91,-11.46,1.89
66.04,-11.67,1.87
66.16,-11.88,1.85
66.28,-12.09,1.82
66.4,-12.3,1.8
66.52,-12.51,1.78
66.64,-12.72,1.75
66.76,-12.93,1.73
66.88,-13.15,1.71
67.0,-13.36,1.68
67.11,-13.58,1.66
67.23,-13.79,1.63
67.35,-14.01,1.61
67.47,-14.23,1.58
67.58,-14.45,1.56
67.7,-14.67,1.53
67.81,-14.89,1.51
67.93,-15.12,1.48
68.04,-15.34,1.46
68.15,-15.56,1.43
68.27,-15.79,1.41
68.38,-16.01,1.38
68.49,-16.24,1.35
68.6,-16.47,1.33
68.72,-16.7,1.3
68.83,-16.93,1.28
68.94,-17.16,1.25
69.05,-17.39,1.22
69.16,-17.62,1.19
69.27,-17.85,1.17
69.37,-18.09,1.14
69.48,-18.32,1.11
69.59,-18.56,1.09
69.7,-18.79,1.06
69.81,-19.03,1.03
69.91,-19.27,1.0
70.02,-19.51,0.97
70.12,-19.75,0.95
70.23,-19.99,0.92
70.33,-20.23,0.89
70.44,-20.47,0.86
70.54,-20.71,0.83
70.65,-20.96,0.8
70.75,-21.2,0.77
70.85,-21.45,0.74
70.96,-21.69,0.71
71.06,-21.94,0.69
71.16,-22.19,0.66
71.26,-22.44,0.63
71.36,-22.69,0.6
71.47,-22.94,0.57
71.57,-23.19,0.54
71.67,-23.44,0.51
71.77,-23.69,0.48
71.86,-23.94,0.45
71.96,-24.2,0.42
72.06,-24.45,0.38
72.16,-24.7,0.35
72.26,-24.96,0.32
72.36,-25.22,0.29
72.45,-25.47,0.26
72.55,-25.73,0.23
72.65,-25.99,0.2
72.74,-26.25,0.17
72.84,-26.51,0.14
72.94,-26.77,0.1
73.03,-27.03,0.07
73.13,-27.29,0.04
73.22,-27.55,0.01
73.32,-27.81,-0.02
73.41,-28.08,-0.06
73.5,-28.34,-0.09
73.6,-28.6,-0.12
73.69,-28.87,-0.15
73.76,-29.11,-0.19
73.84,-29.36,-0.24
73.91,-29.6,-0.28
73.98,-29.84,-0.32
74.06,-30.09,-0.36
74.13,-30.33,-0.4
74.21,-30.57,-0.44
74.28,-30.82,-0.49
74.35,-31.06,-0.53
74.43,-31.31,-0.57
74.5,-31.55,-0.61
74.57,-31.79,-0.65
74.64,-32.04,-0.69
74.72,-32.28,-0.73
74.79,-32.53,-0.77
74.86,-32.77,-0.81
74.94,-33.02,-0.85
75.01,-33.26,-0.89
75.08,-33.51,-0.93
75.15,-33.75,-0.97
75.23,-34.0,-1.01
75.3,-34.25,-1.05
75.37,-34.49,-1.08
75.44,-34.74,-1.12
75.51,-34.99,-1.16
75.58,-35.23,-1.2
75.65,-35.48,-1.23
75.73,-35.73,-1.27
75.8,-35.98,-1.31
75.87,-36.23,-1.34
75.94,-36.48,-1.38
76.01,-36.73,-1.41
76.08,-36.98,-1.45
76.15,-37.23,-1.48
76.22,-37.48,-1.51
76.29,-37.73,-1.55
76.35,-37.98,-1.58
76.42,-38.23,-1.61
76.49,-38.48,-1.64
76.56,-38.74,-1.67
76.63,-38.99,-1.7
76.7,-39.24,-1.73
76.76,-39.5,-1.76
76.83,-39.75,-1.79
76.9,-40.01,-1.82
76.96,-40.26,-1.85
77.03,-40.52,-1.87
77.1,-40.78,-1.9
77.16,-41.03,-1.93
77.23,-41.29,-1.95
77.29,-41.55,-1.98
77.36,-41.81,-2.0
77.42,-42.07,-2.02
77.49,-42.33,-2.05
77.55,-42.59,-2.07
77.62,-42.85,-2.09
77.68,-43.11,-2.11
77.74,-43.37,-2.13
77.8,-43.64,-2.15
77.87,-43.9,-2.17
77.93,-44.16,-2.19
77.99,-44.43,-2.2
78.05,-44.69,-2.22
78.11,-44.96,-2.24
78.17,-45.23,-2.25
78.23,-45.49,-2.27
78.29,-45.76,-2.28
78.35,-46.03,-2.29
78.41,-46.3,-2.3
78.47,-46.57,-2.32
78.53,-46.84,-2.33
78.59,-47.11,-2.34
78.64,-47.38,-2.35
78.7,-47.65,-2.35
78.76,-47.93,-2.36
78.82,-48.2,-2.37
78.87,-48.47,-2.38
78.93,-48.75,-2.38
78.98,-49.03,-2.39
79.04,-49.3,-2.39
-143.45,-19.35,-29.71
-143.24,-19.49,-29.71
-143.03,-19.62,-29.71
-142.82,-19.75,-29.7
-142.61,-19.88,-29.7
-142.4,-20.01,-29.69
-142.19,-20.14,-29.68
-141.98,-20.26,-29.68
-141.76,-20.39,-29.67
-141.55,-20.51,-29.66
-141.34,-20.63,-29.65
-141.12,-20.75,-29.64
-140.91,-20.87,-29.63
-140.69,-20.99,-29.62
-140.48,-21.1,-29.61
-140.26,-21.22,-29.6
-140.05,-21.33,-29.58
-139.83,-21.44,-29.57
-139.62,-21.55,-29.56
-139.4,-21.66,-29.54
-139.18,-21.77,-29.52
-138.96,-21.88,-29.51
-138.75,-21.98,-29.49
-138.53,-22.09,-29.47
-138.31,-22.19,-29.45
-138.09,-22.29,-29.43
-137.87,-22.39,-29.41
-137.65,-22.49,-29.39
-137.43,-22.59,-29.37
-137.21,-22.69,-29.35
-136.99,-22.78,-29.33
-136.77,-22.88,-29.3
-136.55,-22.97,-29.28
-136.32,-23.06,-29.25
-136.1,-23.15,-29.23
-135.88,-23.24,-29.2
-135.66,-23.33,-29.18
-135.43,-23.42,-29.15
-135.21,-23.5,-29.12
-134.99,-23.59,-29.09
-134.76,-23.67,-29.06
-134.54,-23.75,-29.03
-134.31,-23.83,-29.0
-134.09,-23.91,-28.97
-133.86,-23.99,-28.94
-133.63,-24.07,-28.91
-133.41,-24.14,-28.87
-133.18,-24.22,-28.84
-132.95,-24.29,-28.81
-132.73,-24.36,-28.77
-132.5,-24.44,-28.74
-132.27,-24.51,-28.7
-132.04,-24.58,-28.66
-131.82,-24.65,-28.63
-131.59,-24.71,-28.59
-131.36,-24.78,-28.55
-131.13,-24.85,-28.51
-130.9,-24.91,-28.47
-130.67,-24.97,-28.43
-130.44,-25.04,-28.39
-130.21,-25.1,-28.35
-129.98,-25.16,-28.31
-129.75,-25.22,-28.27
-129.51,-25.28,-28.23
-129.28,-25.34,-28.19
-129.05,-25.39,-28.14
-128.82,-25.45,-28.1
-128.59,-25.5,-28.06
-128.35,-25.56,-28.01
-128.12,-25.61,-27.97
-127.89,-25.67,-27.92
-127.66,-25.72,-27.88
-127.42,-25.77,-27.83
-127.19,-25.82,-27.78
-126.95,-25.87,-27.74
-126.72,-25.92,-27.69
-126.49,-25.97,-27.64
-126.25,-26.01,-27.59
-126.02,-26.06,-27.54
-125.78,-26.11,-27.5
-125.55,-26.15,-27.45
-125.31,-26.2,-27.4
-125.08,-26.24,-27.35
-124.84,-26.28,-27.3
-124.6,-26.33,-27.25
-124.37,-26.37,-27.2
-124.13,-26.41,-27.14
-123.9,-26.45,-27.09
-123.66,-26.49,-27.04
-123.42,-26.53,-26.99
-123.19,-26.57,-26.94
-122.95,-26.61,-26.88
-122.71,-26.65,-26.83
-122.48,-26.69,-26.78
-122.24,-26.73,-26.73
-122.0,-26.77,-26.67
-121.76,-26.8,-26.62
-121.53,-26.84,-26.56
-121.29,-26.88,-26.51
-121.05,-26.91,-26.46
-120.81,-26.95,-26.4
-120.57,-26.98,-26.35
-120.34,-27.02,-26.29
-120.1,-27.05,-26.24
-119.86,-27.09,-26.18
-119.62,-27.12,-26.13
-119.38,-27.15,-26.07
-119.15,-27.19,-26.02
-118.91,-27.22,-25.96
-118.67,-27.26,-25.91
-118.43,-27.29,-25.85
-118.19,-27.32,-25.8
-117.95,-27.36,-25.74
-117.71,-27.39,-25.68
-117.48,-27.42,-25.63
-117.24,-27.45,-25.57
-117.0,-27.49,-25.52
-116.76,-27.52,-25.46
-116.52,-27.55,-25.41
-116.29,-27.58,-25.35
-116.05,-27.61,-25.3
-115.82,-27.64,-25.25
-115.58,-27.66,-25.19
-115.35,-27.69,-25.14
-115.11,-27.72,-25.09
-114.87,-27.75,-25.03
-114.64,-27.77,-24.98
-114.4,-27.8,-24.93
-114.17,-27.83,-24.87
-113.93,-27.85,-24.82
-113.7,-27.88,-24.77
-113.46,-27.91,-24.71
-113.23,-27.93,-24.66
-112.99,-27.96,-24.61
-112.76,-27.98,-24.55
-112.52,-28.01,-24.5
-112.28,-28.03,-24.45
-112.05,-28.06,-24.39
-111.81,-28.08,-24.34
-111.58,-28.1,-24.29
-111.34,-28.13,-24.23
-111.11,-28.15,-24.18
-110.87,-28.17,-24.13
-110.64,-28.19,-24.07
-110.4,-28.22,-24.02
-110.16,-28.24,-23.97
-109.93,-28.26,-23.91
-109.69,-28.28,-23.86
-109.46,-28.3,-23.81
-109.22,-28.32,-23.75
-108.99,-28.34,-23.7
-108.75,-28.36,-23.65
-108.52,-28.38,-23.59
-108.28,-28.4,-23.54
-108.04,-28.42,-23.49
-107.81,-28.44,-23.43
-107.57,-28.46,-23.38
-107.34,-28.47,-23.33
-107.1,-28.49,-23.27
-106.87,-28.51,-23.22
-106.63,-28.53,-23.17
-106.4,-28.54,-23.11
-106.16,-28.56,-23.06
-105.92,-28.57,-23.01
-105.69,-28.59,-22.95
-105.45,-28.61,-22.9
-105.22,-28.62,-22.85
-104.98,-28.63,-22.79
-104.75,-28.65,-22.74
-104.51,-28.66,-22.69
-104.28,-28.68,-22.63
-104.04,-28.69,-22.58
-103.8,-28.7,-22.53
-103.57,-28.72,-22.47
-103.33,-28.73,-22.42
-103.1,-28.74,-22.37
-102.86,-28.75,-22.31
-102.63,-28.76,-22.26
-102.39,-28.77,-22.21
-102.16,-28.78,-22.15
-101.92,-28.79,-22.1
-101.69,-28.8,-22.05
-101.45,-28.81,-21.99
-101.21,-28.82,-21.94
-100.98,-28.83,-21.89
-100.74,-28.84,-21.83
-100.51,-28.85,-21.78
-100.27,-28.85,-21.72
-100.04,-28.86,-21.67
-99.8,-28.87,-21.62
-99.57,-28.87,-21.56
-99.33,-28.88,-21.51
-99.09,-28.89,-21.46
-98.86,-28.89,-21.4
-98.62,-28.9,-21.35
-98.39,-28.9,-21.3
-98.15,-28.91,-21.24
-97.92,-28.91,-21.19
-97.68,-28.91,-21.14
-97.45,-28.92,-21.08
-97.21,-28.92,-21.03
-96.97,-28.92,-20.98
-96.74,-28.92,-20.92
-96.5,-28.92,-20.87
-96.27,-28.93,-20.82
-96.03,-28.93,-20.76
-95.8,-28.93,-20.71
-95.56,-28.93,-20.66
-95.33,-28.93,-20.6
-95.09,-28.93,-20.55
-94.85,-28.92,-20.5
-94.62,-28.92,-20.44
-94.38,-28.92,-20.39
-94.15,-28.92,-20.34
-93.91,-28.92,-20.28
-93.68,-28.91,-20.23
-93.44,-28.91,-20.18
-93.21,-28.91,-20.12
-92.97,-28.9,-20.07
-92.73,-28.9,-20.02
-92.5,-28.89,-19.96
-92.26,-28.89,-19.91
-92.03,-28.88,-19.86
-91.79,-28.87,-19.8
-91.56,-28.87,-19.75
-91.32,-28.86,-19.7
-91.09,-28.85,-19.64
-90.85,-28.84,-19.59
-90.62,-28.84,-19.54
-90.38,-28.83,-19.48
-90.14,-28.82,-19.43
-89.91,-28.81,-19.38
-89.67,-28.8,-19.32
-89.44,-28.79,-19.27
-89.2,-28.78,-19.22
-88.97,-28.77,-19.16
-88.73,-28.75,-19.11
-88.5,-28.74,-19.06
-88.26,-28.73,-19.0
-88.02,-28.72,-18.95
-87.79,-28.7,-18.9
-87.55,-28.69,-18.84
-87.32,-28.68,-18.79
-87.08,-28.66,-18.74
-86.85,-28.65,-18.68
-86.61,-28.63,-18.63
-86.38,-28.61,-18.58
-86.14,-28.6,-18.52
-85.9,-28.58,-18.47
-85.67,-28.56,-18.42
-85.43,-28.55,-18.36
-85.2,-28.53,-18.31
-84.96,-28.51,-18.26
-84.73,-28.49,-18.2
-84.49,-28.47,-18.15
-84.26,-28.45,-18.1
-84.02,-28.43,-18.04
-83.78,-28.41,-17.99
-83.55,-28.39,-17.94
-83.31,-28.37,-17.88
-83.08,-28.35,-17.83
-82.84,-28.33,-17.78
-82.61,-28.3,-17.72
-82.37,-28.28,-17.67
-82.14,-28.26,-17.62
-81.9,-28.23,-17.56
-81.66,-28.21,-17.51
-81.43,-28.18,-17.46
-81.19,-28.16,-17.4
-80.96,-28.13,-17.35
-80.72,-28.11,-17.3
-80.49,-28.08,-17.24
-80.25,-28.05,-17.19
-80.02,-28.03,-17.14
-79.78,-28.0,-17.08
-79.55,-27.97,-17.03
-79.31,-27.94,-16.98
-79.07,-27.91,-16.92
-78.84,-27.88,-16.87
-78.6,-27.85,-16.82
-78.37,-27.82,-16.76
-78.13,-27.79,-16.71
-77.9,-27.76,-16.65
-77.66,-27.73,-16.6
-77.43,-27.7,-16.55
-77.19,-27.66,-16.49
-76.95,-27.63,-16.44
-76.72,-27.6,-16.39
-76.48,-27.56,-16.33
-76.25,-27.53,-16.28
-76.01,-27.49,-16.23
-75.78,-27.46,-16.17
-75.54,-27.42,-16.12
-75.31,-27.39,-16.07
-75.07,-27.35,-16.01
-74.83,-27.31,-15.96
-74.6,-27.28,-15.91
-74.36,-27.24,-15.85
-74.13,-27.2,-15.8
-73.89,-27.16,-15.75
-73.66,-27.12,-15.69
-73.42,-27.08,-15.64
-73.19,-27.04,-15.59
-72.95,-27.0,-15.53
-72.71,-26.96,-15.48
-72.48,-26.92,-15.43
-72.24,-26.88,-15.37
-72.01,-26.84,-15.32
-71.77,-26.8,-15.27
-71.54,-26.75,-15.21
-71.3,-26.71,-15.16
-71.07,-26.67,-15.11
-70.83,-26.62,-15.05
-70.59,-26.58,-15.0
-70.36,-26.53,-14.95
-70.12,-26.49,-14.89
-69.89,-26.44,-14.84
-69.65,-26.39,-14.79
-69.42,-26.35,-14.73
-69.18,-26.3,-14.68
-68.95,-26.25,-14.63
-68.71,-26.2,-14.57
-68.48,-26.15,-14.52
-68.24,-26.11,-14.47
-68.0,-26.06,-14.41
-67.77,-26.01,-14.36
-67.53,-25.96,-14.31
-67.3,-25.91,-14.25
-67.06,-25.85,-14.2
-66.83,-25.8,-14.15
-66.59,-25.75,-14.09
-66.36,-25.7,-14.04
-66.12,-25.65,-13.99
-65.88,-25.59,-13.93
-65.65,-25.54,-13.88
-65.41,-25.48,-13.83
-65.18,-25.43,-13.77
-64.94,-25.38,-13.72
-64.71,-25.32,-13.67
-64.47,-25.26,-13.61
-64.24,-25.21,-13.56
-64.0,-25.15,-13.51
-63.76,-25.09,-13.45
-63.53,-25.04,-13.4
-63.29,-24.98,-13.35
-63.06,-24.92,-13.29
-62.82,-24.86,-13.24
-62.59,-24.8,-13.19
-62.35,-24.74,-13.13
-62.12,-24.68,-13.08
-61.88,-24.62,-13.03
-61.64,-24.56,-12.97
-61.41,-24.5,-12.92
-61.17,-24.44,-12.87
-60.94,-24.38,-12.81
-60.7,-24.31,-12.76
-60.47,-24.25,-12.71
-60.23,-24.19,-12.65
-60.0,-24.13,-12.6
-59.76,-24.06,-12.55
-59.52,-24.0,-12.49
-59.29,-23.93,-12.44
-59.05,-23.87,-12.39
-58.82,-23.8,-12.33
-58.58,-23.73,-12.28
-58.35,-23.67,-12.23
-58.11,-23.6,-12.17
-57.88,-23.53,-12.12
-57.64,-23.47,-12.07
-57.41,-23.4,-12.01
-57.17,-23.33,-11.96
-56.93,-23.26,-11.91
-56.7,-23.19,-11.85
-56.46,-23.12,-11.8
-56.23,-23.05,-11.74
-55.99,-22.98,-11.69
-55.76,-22.91,-11.64
-55.52,-22.84,-11.58
-55.29,-22.77,-11.53
-55.05,-22.7,-11.48
-54.81,-22.62,-11.42
-54.58,-22.55,-11.37
-54.34,-22.48,-11.32
-54.11,-22.4,-11.26
-53.87,-22.33,-11.21
-53.64,-22.26,-11.16
-53.4,-22.18,-11.1
-53.17,-22.11,-11.05
-52.93,-22.03,-11.0
-52.69,-21.95,-10.94
-52.46,-21.88,-10.89
-52.22,-21.8,-10.84
-51.99,-21.72,-10.78
-51.75,-21.65,-10.73
-51.52,-21.57,-10.68
-51.28,-21.49,-10.62
-51.05,-21.41,-10.57
-50.81,-21.33,-10.52
-50.57,-21.26,-10.46
-50.34,-21.18,-10.41
-50.1,-21.1,-10.36
-49.87,-21.02,-10.3
-49.63,-20.93,-10.25
-49.4,-20.85,-10.2
-49.16,-20.77,-10.14
-48.93,-20.69,-10.09
-48.69,-20.61,-10.04
-48.46,-20.53,-9.98
-48.22,-20.44,-9.93
-47.98,-20.36,-9.88
-47.75,-20.28,-9.82
-47.51,-20.19,-9.77
-47.28,-20.11,-9.72
-47.04,-20.02,-9.66
-46.81,-19.94,-9.61
-46.57,-19.85,-9.56
-46.34,-19.77,-9.5
-46.1,-19.68,-9.45
-45.86,-19.6,-9.4
-45.63,-19.51,-9.34
-45.39,-19.42,-9.29
-45.16,-19.34,-9.24
-44.92,-19.25,-9.18
-44.69,-19.16,-9.13
-44.45,-19.07,-9.08
-44.22,-18.98,-9.02
-43.98,-18.89,-8.97
-43.74,-18.81,-8.92
-43.51,-18.72,-8.86
-43.27,-18.63,-8.81
-43.04,-18.54,-8.76
-42.8,-18.45,-8.7
-42.57,-18.35,-8.65
-42.33,-18.26,-8.6
-42.1,-18.17,-8.54
-41.86,-18.08,-8.49
-41.62,-17.99,-8.44
-41.39,-17.9,-8.38
-41.15,-17.8,-8.33
-40.92,-17.71,-8.28
-40.68,-17.62,-8.22
-40.45,-17.52,-8.17
-40.21,-17.43,-8.12
-39.98,-17.33,-8.06
-39.74,-17.24,-8.01
-39.5,-17.15,-7.96
-39.27,-17.05,-7.9
-39.03,-16.95,-7.85
-38.8,-16.86,-7.8
-38.56,-16.76,-7.74
-38.33,-16.67,-7.69
-38.09,-16.57,-7.64
-37.86,-16.47,-7.58
-37.62,-16.38,-7.53
-37.39,-16.28,-7.48
-37.15,-16.18,-7.42
-36.91,-16.08,-7.37
-36.68,-15.98,-7.32
-36.44,-15.89,-7.26
-36.21,-15.79,-7.21
-35.97,-15.69,-7.16
-35.74,-15.59,-7.1
-35.5,-15.49,-7.05
-35.27,-15.39,-7.0
-35.03,-15.29,-6.94
-34.79,-15.19,-6.89
-34.56,-15.09,-6.84
-34.32,-14.99,-6.78
-34.09,-14.89,-6.73
-33.85,-14.78,-6.67
-33.62,-14.68,-6.62
-33.38,-14.58,-6.57
-33.15,-14.48,-6.51
-32.91,-14.38,-6.46
-32.67,-14.27,-6.41
-32.44,-14.17,-6.35
-32.2,-14.07,-6.3
-31.97,-13.96,-6.25
-31.73,-13.86,-6.19
-31.5,-13.76,-6.14
-31.26,-13.65,-6.09
-31.03,-13.55,-6.03
-30.79,-13.44,-5.98
-30.55,-13.34,-5.93
-30.32,-13.23,-5.87
-29.99,-13.08,-5.8
-29.65,-12.93,-5.73
-29.32,-12.77,-5.66
-28.98,-12.62,-5.59
-28.65,-12.47,-5.52
-28.32,-12.31,-5.45
-27.98,-12.16,-5.38
-27.65,-12.01,-5.31
-27.32,-11.85,-5.25
-26.99,-11.7,-5.18
-26.65,-11.55,-5.11
-26.32,-11.39,-5.04
