x,y,z 
-25.99,-11.24,-4.97
-25.66,-11.09,-4.9
-25.33,-10.94,-4.83
-25.0,-10.79,-4.76
-24.66,-10.63,-4.69
-24.33,-10.48,-4.62
-24.0,-10.33,-4.55
-23.67,-10.18,-4.48
-23.34,-10.03,-4.42
-23.02,-9.88,-4.35
-22.69,-9.73,-4.28
-22.36,-9.58,-4.21
-22.03,-9.43,-4.14
-21.7,-9.28,-4.08
-21.38,-9.13,-4.01
-21.05,-8.98,-3.94
-20.73,-8.84,-3.87
-20.4,-8.69,-3.81
-20.08,-8.54,-3.74
-19.75,-8.39,-3.68
-19.43,-8.25,-3.61
-19.11,-8.1,-3.54
-18.79,-7.96,-3.48
-18.47,-7.81,-3.41
-18.15,-7.67,-3.35
-17.83,-7.52,-3.28
-17.51,-7.38,-3.22
-17.19,-7.24,-3.15
-16.87,-7.1,-3.09
-16.56,-6.95,-3.03
-16.24,-6.81,-2.96
-15.93,-6.67,-2.9
-15.61,-6.53,-2.84
-15.3,-6.39,-2.77
-14.99,-6.25,-2.71
-14.67,-6.12,-2.65
-14.36,-5.98,-2.59
-14.05,-5.84,-2.53
-13.75,-5.71,-2.47
-13.44,-5.57,-2.41
-13.13,-5.44,-2.35
-12.83,-5.3,-2.29
-12.52,-5.17,-2.23
-12.22,-5.04,-2.17
-11.91,-4.9,-2.11
-11.61,-4.77,-2.05
-11.31,-4.64,-1.99
-11.01,-4.51,-1.94
-10.71,-4.38,-1.88
-10.42,-4.25,-1.82
-10.12,-4.13,-1.77
-9.82,-4.0,-1.71
-9.53,-3.87,-1.66
-9.24,-3.75,-1.6
-8.95,-3.62,-1.55
-8.65,-3.5,-1.49
-8.36,-3.38,-1.44
-8.08,-3.26,-1.39
-7.79,-3.13,-1.33
-7.5,-3.01,-1.28
-7.22,-2.89,-1.23
-6.93,-2.78,-1.18
-6.65,-2.66,-1.13
-6.37,-2.54,-1.08
-6.09,-2.42,-1.02
-5.81,-2.31,-0.98
-5.53,-2.19,-0.93
-5.26,-2.08,-0.88
-4.98,-1.97,-0.83
-4.71,-1.86,-0.78
-4.43,-1.75,-0.73
-4.16,-1.64,-0.69
-3.89,-1.53,-0.64
-3.62,-1.42,-0.59
-3.36,-1.31,-0.55
-3.09,-1.2,-0.5
-2.83,-1.1,-0.46
-2.56,-0.99,-0.42
-2.3,-0.89,-0.37
-2.04,-0.79,-0.33
-1.78,-0.69,-0.29
-1.52,-0.59,-0.24
-1.26,-0.49,-0.2
-1.01,-0.39,-0.16
-0.75,-0.29,-0.12
-0.5,-0.19,-0.08
-0.25,-0.09,-0.04
-146.29,138.98,39.85
-146.48,138.82,39.73
-146.66,138.67,39.61
-146.85,138.51,39.48
-147.03,138.35,39.36
-147.22,138.2,39.24
-147.4,138.04,39.12
-147.59,137.89,38.99
-147.77,137.73,38.87
-147.96,137.58,38.75
-148.14,137.42,38.62
-148.33,137.26,38.5
-148.51,137.11,38.38
-148.7,136.95,38.26
-148.88,136.8,38.13
-149.07,136.64,38.01
-149.25,136.49,37.89
-149.44,136.33,37.76
-149.62,136.17,37.64
-149.81,136.02,37.52
-149.99,135.86,37.4
-150.18,135.71,37.27
-150.36,135.55,37.15
-150.55,135.4,37.03
-150.73,135.24,36.91
-150.91,135.08,36.78
-151.1,134.93,36.66
-151.28,134.77,36.54
-151.47,134.62,36.41
-151.65,134.46,36.29
-151.83,134.3,36.17
-152.02,134.15,36.05
-152.2,133.99,35.92
-152.39,133.84,35.8
-152.57,133.68,35.68
-152.75,133.53,35.56
-152.94,133.37,35.43
-153.12,133.21,35.31
-153.3,133.06,35.19
-153.49,132.9,35.07
-153.67,132.75,34.94
-153.85,132.59,34.82
-154.03,132.43,34.7
-154.22,132.28,34.58
-154.4,132.12,34.45
-154.58,131.96,34.33
-154.77,131.81,34.21
-154.95,131.65,34.09
-155.13,131.5,33.96
-155.31,131.34,33.84
-155.49,131.18,33.72
-155.68,131.03,33.6
-155.86,130.87,33.48
-156.04,130.71,33.35
-156.22,130.56,33.23
-156.4,130.4,33.11
-156.58,130.24,32.99
-156.76,130.09,32.87
-156.94,129.93,32.74
-157.12,129.78,32.62
-157.3,129.62,32.5
-157.48,129.46,32.38
-157.66,129.31,32.26
-157.84,129.15,32.13
-158.02,128.99,32.01
-158.2,128.84,31.89
-158.38,128.68,31.77
-158.56,128.52,31.65
-158.74,128.36,31.52
-158.92,128.21,31.4
-159.1,128.05,31.28
-159.28,127.89,31.16
-159.46,127.74,31.04
-159.63,127.58,30.92
-159.81,127.42,30.8
-159.99,127.27,30.67
-160.17,127.11,30.55
-160.35,126.95,30.43
-160.52,126.79,30.31
-160.7,126.64,30.19
-160.88,126.48,30.07
-161.05,126.32,29.95
-161.23,126.16,29.82
-161.41,126.01,29.7
-161.58,125.85,29.58
-161.76,125.69,29.46
-161.93,125.53,29.34
-162.11,125.38,29.22
-162.28,125.22,29.1
-162.46,125.06,28.98
-162.63,124.9,28.86
-162.81,124.75,28.74
-162.98,124.59,28.62
-163.16,124.43,28.5
-163.33,124.27,28.37
-163.5,124.11,28.25
-163.68,123.96,28.13
-163.85,123.8,28.01
-164.02,123.64,27.89
-164.19,123.48,27.77
-164.37,123.32,27.65
-164.54,123.17,27.53
-164.71,123.01,27.41
-164.88,122.85,27.29
-165.05,122.69,27.17
-165.22,122.53,27.05
-165.39,122.37,26.93
-165.56,122.21,26.81
-165.73,122.06,26.69
-165.9,121.9,26.57
-166.07,121.74,26.45
-166.24,121.58,26.33
-166.41,121.42,26.21
-166.58,121.26,26.09
-166.75,121.1,25.97
-166.92,120.94,25.85
-167.08,120.78,25.73
-167.25,120.63,25.62
-167.42,120.47,25.5
-167.59,120.31,25.38
-167.75,120.15,25.26
-167.92,119.99,25.14
-168.09,119.83,25.02
-168.25,119.67,24.9
-168.42,119.51,24.78
-168.58,119.35,24.66
-168.75,119.19,24.54
-168.91,119.03,24.43
-169.07,118.87,24.31
-169.24,118.71,24.19
-169.4,118.55,24.07
-169.56,118.39,23.95
-169.73,118.23,23.83
-169.89,118.07,23.71
-170.05,117.91,23.6
-170.21,117.75,23.48
-170.38,117.59,23.36
-170.54,117.43,23.24
-170.7,117.27,23.12
-170.86,117.11,23.01
-171.02,116.95,22.89
-171.18,116.79,22.77
-171.34,116.63,22.65
-171.5,116.46,22.53
-171.65,116.3,22.42
-171.81,116.14,22.3
-171.97,115.98,22.18
-172.13,115.82,22.06
-172.28,115.66,21.95
-172.44,115.5,21.83
-172.6,115.34,21.71
-172.75,115.18,21.6
-172.91,115.01,21.48
-173.07,114.85,21.36
-173.22,114.69,21.24
-173.37,114.53,21.13
-173.53,114.37,21.01
-173.68,114.2,20.89
-173.84,114.04,20.78
-173.99,113.88,20.66
-174.14,113.72,20.55
-174.29,113.56,20.43
-174.45,113.39,20.31
-174.6,113.23,20.2
-174.75,113.07,20.08
-174.9,112.91,19.96
-175.05,112.74,19.85
-175.2,112.58,19.73
-175.35,112.42,19.62
-175.5,112.26,19.5
-175.64,112.09,19.39
-175.79,111.93,19.27
-175.94,111.77,19.16
-176.09,111.6,19.04
-176.23,111.44,18.92
-176.38,111.28,18.81
-176.53,111.11,18.69
-176.67,110.95,18.58
-176.82,110.79,18.46
-176.96,110.62,18.35
-177.11,110.46,18.24
-177.25,110.29,18.12
-177.39,110.13,18.01
-177.54,109.97,17.89
-177.68,109.8,17.78
-177.82,109.64,17.66
-177.96,109.47,17.55
-178.1,109.31,17.43
-178.24,109.14,17.32
-178.38,108.98,17.21
-178.52,108.81,17.09
-178.66,108.65,16.98
-178.8,108.49,16.87
-178.94,108.32,16.75
-179.08,108.16,16.64
-179.22,107.99,16.53
-179.35,107.82,16.41
-179.49,107.66,16.3
-179.63,107.49,16.19
-179.76,107.33,16.07
-179.9,107.16,15.96
-180.03,107.0,15.85
-180.16,106.83,15.73
-180.3,106.66,15.62
-180.43,106.5,15.51
-180.56,106.33,15.4
-180.7,106.17,15.28
-180.83,106.0,15.17
-180.96,105.83,15.06
-181.09,105.67,14.95
-181.22,105.5,14.84
-181.35,105.33,14.72
-181.48,105.17,14.61
-181.61,105.0,14.5
-181.74,104.83,14.39
-181.86,104.67,14.28
-181.99,104.5,14.17
-182.12,104.33,14.06
-182.24,104.16,13.94
-182.37,104.0,13.83
-182.49,103.83,13.72
-182.62,103.66,13.61
-182.74,103.49,13.5
-182.87,103.32,13.39
-182.99,103.16,13.28
-183.11,102.99,13.17
-183.23,102.82,13.06
-183.36,102.65,12.95
-183.48,102.48,12.84
-183.6,102.32,12.73
-183.72,102.15,12.62
-183.84,101.98,12.51
-183.95,101.81,12.4
-184.07,101.64,12.29
-184.19,101.47,12.18
-184.31,101.3,12.07
-184.42,101.13,11.96
-184.54,100.96,11.85
-184.66,100.79,11.75
-184.77,100.62,11.64
-184.89,100.45,11.53
-185.0,100.28,11.42
-185.11,100.11,11.31
-185.23,99.94,11.2
-185.34,99.77,11.09
-185.45,99.6,10.99
-185.56,99.43,10.88
-185.67,99.26,10.77
-185.78,99.09,10.66
-185.89,98.92,10.55
-186.0,98.75,10.45
-186.11,98.58,10.34
-186.22,98.41,10.23
-186.32,98.24,10.12
-186.43,98.06,10.02
-186.54,97.89,9.91
-186.64,97.72,9.8
-186.75,97.55,9.7
-186.85,97.38,9.59
-186.95,97.21,9.48
-187.06,97.03,9.38
-187.16,96.86,9.27
-187.26,96.69,9.16
-187.36,96.52,9.06
-187.46,96.34,8.95
-187.56,96.17,8.85
-187.66,96.0,8.74
-187.76,95.83,8.63
-187.86,95.65,8.53
-187.96,95.48,8.42
-188.06,95.31,8.32
-188.15,95.13,8.21
-188.25,94.96,8.11
-188.35,94.79,8.0
-188.44,94.61,7.9
-188.53,94.44,7.79
-188.63,94.27,7.69
-188.72,94.09,7.58
-188.81,93.92,7.48
-188.91,93.74,7.37
-189.0,93.57,7.27
-189.09,93.39,7.17
-189.18,93.22,7.06
-189.27,93.04,6.96
-189.36,92.87,6.86
-189.44,92.69,6.75
-189.53,92.52,6.65
-189.62,92.34,6.55
-189.7,92.17,6.44
-189.79,91.99,6.34
-189.88,91.82,6.24
-189.96,91.64,6.13
-190.04,91.47,6.03
-190.13,91.29,5.93
-190.21,91.11,5.83
-190.29,90.94,5.72
-190.37,90.76,5.62
-190.45,90.58,5.52
-190.53,90.41,5.42
-190.61,90.23,5.32
-190.69,90.05,5.21
-190.77,89.88,5.11
-190.85,89.7,5.01
-190.92,89.52,4.91
-191.0,89.35,4.81
-191.08,89.17,4.71
-191.15,88.99,4.61
-191.23,88.81,4.51
-191.3,88.63,4.41
-191.37,88.46,4.31
-191.45,88.28,4.21
-191.52,88.1,4.1
-191.59,87.92,4.0
-191.66,87.74,3.9
-191.73,87.56,3.8
-191.8,87.39,3.71
-191.87,87.21,3.61
-191.93,87.03,3.51
-192.0,86.85,3.41
-192.07,86.67,3.31
-192.13,86.49,3.21
-192.2,86.31,3.11
-192.26,86.13,3.01
-192.33,85.95,2.91
-192.39,85.77,2.81
-192.45,85.59,2.72
-192.52,85.41,2.62
-192.58,85.23,2.52
-192.64,85.05,2.42
-192.7,84.87,2.32
-192.76,84.69,2.23
-192.82,84.51,2.13
-192.87,84.33,2.03
-192.93,84.14,1.93
-192.99,83.96,1.84
-193.04,83.78,1.74
-193.1,83.6,1.64
-193.15,83.42,1.54
-193.21,83.24,1.45
-193.26,83.05,1.35
-193.31,82.87,1.26
-193.37,82.69,1.16
-193.42,82.51,1.06
-193.47,82.32,0.97
-193.52,82.14,0.87
-193.57,81.96,0.78
-193.62,81.78,0.68
-193.66,81.59,0.58
-193.71,81.41,0.49
-193.76,81.23,0.39
-193.8,81.04,0.3
-193.85,80.86,0.2
-193.89,80.68,0.11
-193.94,80.49,0.01
-193.98,80.31,-0.08
-194.02,80.12,-0.17
-194.07,79.94,-0.27
-194.11,79.75,-0.36
-194.15,79.57,-0.46
-194.19,79.39,-0.55
-194.23,79.2,-0.64
-194.26,79.02,-0.74
-194.3,78.83,-0.83
-194.34,78.65,-0.92
-194.38,78.46,-1.02
-194.41,78.27,-1.11
-194.45,78.09,-1.2
-194.48,77.9,-1.3
-194.51,77.72,-1.39
-194.55,77.53,-1.48
-194.58,77.34,-1.57
-194.61,77.16,-1.67
-194.64,76.97,-1.76
-194.67,76.78,-1.85
-194.7,76.6,-1.94
-194.73,76.41,-2.03
-194.76,76.22,-2.12
-194.79,76.04,-2.22
-194.81,75.85,-2.31
-194.84,75.66,-2.4
-194.86,75.47,-2.49
-194.89,75.29,-2.58
-194.91,75.1,-2.67
-194.94,74.91,-2.76
-194.96,74.72,-2.85
-194.98,74.53,-2.94
-195.0,74.35,-3.03
-195.02,74.16,-3.12
-195.04,73.97,-3.21
-195.06,73.78,-3.3
-195.08,73.59,-3.39
-195.1,73.4,-3.48
-195.11,73.21,-3.57
-195.13,73.02,-3.66
-195.14,72.83,-3.75
-195.16,72.64,-3.84
-195.17,72.45,-3.92
-195.19,72.26,-4.01
-195.2,72.07,-4.1
-195.21,71.88,-4.19
-195.22,71.69,-4.28
-195.23,71.5,-4.37
-195.24,71.31,-4.45
-195.25,71.12,-4.54
-195.26,70.93,-4.63
-195.27,70.74,-4.72
-195.28,70.55,-4.8
-195.28,70.36,-4.89
-195.29,70.16,-4.98
-195.29,69.97,-5.07
-195.3,69.78,-5.15
-195.3,69.59,-5.24
-195.3,69.4,-5.32
-195.31,69.2,-5.41
-195.31,69.01,-5.5
-195.31,68.82,-5.58
-195.31,68.63,-5.67
-195.31,68.43,-5.75
-195.31,68.24,-5.84
-195.3,68.05,-5.93
-195.3,67.86,-6.01
-195.3,67.66,-6.1
-195.29,67.47,-6.18
-195.29,67.27,-6.27
-195.28,67.08,-6.35
-195.28,66.89,-6.44
-195.27,66.69,-6.52
-195.26,66.5,-6.6
-195.26,66.3,-6.69
-195.25,66.11,-6.77
-195.24,65.92,-6.86
-195.23,65.72,-6.94
-195.21,65.53,-7.02
-195.2,65.33,-7.11
-195.19,65.14,-7.19
-195.18,64.94,-7.27
-195.16,64.74,-7.36
-195.15,64.55,-7.44
-195.13,64.35,-7.52
-195.12,64.16,-7.61
-195.1,63.96,-7.69
-195.08,63.77,-7.77
-195.06,63.57,-7.85
-195.05,63.37,-7.93
-195.03,63.18,-8.02
-195.01,62.98,-8.1
-194.99,62.78,-8.18
-194.96,62.59,-8.26
-194.94,62.39,-8.34
-194.92,62.19,-8.42
-194.89,61.99,-8.51
-194.87,61.8,-8.59
-194.84,61.6,-8.67
-194.82,61.4,-8.75
-194.79,61.2,-8.83
-194.77,61.0,-8.91
-194.74,60.81,-8.99
-194.71,60.61,-9.07
-194.68,60.41,-9.15
-194.65,60.21,-9.23
-194.62,60.01,-9.31
-194.59,59.81,-9.39
-194.56,59.61,-9.47
-194.52,59.41,-9.55
-194.49,59.21,-9.63
-194.45,59.02,-9.71
-194.42,58.82,-9.78
-194.38,58.62,-9.86
-194.35,58.42,-9.94
-194.31,58.22,-10.02
-194.27,58.02,-10.1
-194.24,57.82,-10.18
-194.2,57.61,-10.25
-194.16,57.41,-10.33
-194.12,57.21,-10.41
-194.08,57.01,-10.49
-194.03,56.81,-10.57
-193.99,56.61,-10.64
-193.95,56.41,-10.72
-193.9,56.21,-10.8
-193.86,56.01,-10.87
-193.81,55.8,-10.95
-193.77,55.6,-11.03
-193.72,55.4,-11.1
-193.67,55.2,-11.18
-193.63,55.0,-11.26
-193.58,54.79,-11.33
-193.53,54.59,-11.41
-193.48,54.39,-11.49
-193.43,54.19,-11.56
-193.38,53.98,-11.64
-193.32,53.78,-11.71
-193.27,53.58,-11.79
-193.22,53.37,-11.86
-193.16,53.17,-11.94
-193.11,52.97,-12.01
-193.05,52.76,-12.09
-193.0,52.56,-12.16
-192.94,52.35,-12.24
-192.88,52.15,-12.31
-192.83,51.95,-12.39
-192.77,51.74,-12.46
-192.71,51.54,-12.53
-192.65,51.33,-12.61
-192.59,51.13,-12.68
-192.53,50.92,-12.75
-192.46,50.72,-12.83
-192.4,50.51,-12.9
-192.34,50.31,-12.97
-192.27,50.1,-13.05
-192.21,49.9,-13.12
-192.14,49.69,-13.19
-192.08,49.48,-13.27
-192.01,49.28,-13.34
-191.94,49.07,-13.41
-191.88,48.87,-13.48
-191.81,48.66,-13.56
-191.74,48.45,-13.63
-191.67,48.25,-13.7
-191.6,48.04,-13.77
-191.53,47.83,-13.84
-191.45,47.63,-13.91
-191.38,47.42,-13.99
-191.31,47.21,-14.06
-191.23,47.0,-14.13
-191.16,46.8,-14.2
-191.08,46.59,-14.27
-191.01,46.38,-14.34
-190.93,46.17,-14.41
-190.85,45.96,-14.48
-190.78,45.76,-14.55
-190.7,45.55,-14.62
-190.62,45.34,-14.69
-190.54,45.13,-14.76
-190.46,44.92,-14.83
-190.38,44.71,-14.9
-190.3,44.5,-14.97
-190.21,44.29,-15.04
-190.13,44.09,-15.11
-190.05,43.88,-15.18
-189.96,43.67,-15.25
-189.88,43.46,-15.32
-189.79,43.25,-15.38
-189.71,43.04,-15.45
-189.62,42.83,-15.52
-189.53,42.62,-15.59
-189.44,42.41,-15.66
-189.36,42.2,-15.73
-189.27,41.99,-15.79
-189.18,41.78,-15.86
-189.09,41.56,-15.93
-189.0,41.35,-16.0
-188.9,41.14,-16.07
-188.81,40.93,-16.13
-188.72,40.72,-16.2
-188.62,40.51,-16.27
-188.53,40.3,-16.33
-188.44,40.09,-16.4
-188.34,39.87,-16.47
-188.24,39.66,-16.53
-188.15,39.45,-16.6
-188.05,39.24,-16.67
-187.95,39.03,-16.73
-187.85,38.81,-16.8
-187.76,38.6,-16.87
-187.66,38.39,-16.93
-187.56,38.18,-17.0
-187.45,37.96,-17.06
-187.35,37.75,-17.13
-187.25,37.54,-17.19
-187.15,37.32,-17.26
-187.05,37.11,-17.33
-186.94,36.9,-17.39
-186.84,36.68,-17.46
-186.73,36.47,-17.52
-186.63,36.26,-17.59
-186.52,36.04,-17.65
-186.41,35.83,-17.71
-186.31,35.61,-17.78
-186.2,35.4,-17.84
-186.09,35.18,-17.91
-185.98,34.97,-17.97
-185.87,34.76,-18.04
-185.76,34.54,-18.1
-185.65,34.33,-18.16
-185.54,34.11,-18.23
-185.43,33.9,-18.29
-185.32,33.68,-18.35
-185.2,33.47,-18.42
-185.09,33.25,-18.48
-184.97,33.03,-18.54
-184.86,32.82,-18.61
-184.74,32.6,-18.67
-184.63,32.39,-18.73
-184.51,32.17,-18.79
-184.4,31.96,-18.86
-184.28,31.74,-18.92
-184.16,31.52,-18.98
-184.04,31.31,-19.04
-183.92,31.09,-19.1
-183.8,30.87,-19.17
-183.68,30.66,-19.23
-183.56,30.44,-19.29
-183.44,30.22,-19.35
-183.32,30.01,-19.41
-183.2,29.79,-19.47
-183.07,29.57,-19.54
-182.95,29.35,-19.6
-182.82,29.14,-19.66
-182.7,28.92,-19.72
-182.57,28.7,-19.78
-182.45,28.48,-19.84
-182.32,28.27,-19.9
-182.2,28.05,-19.96
-182.07,27.83,-20.02
-181.94,27.61,-20.08
-181.81,27.39,-20.14
-181.68,27.17,-20.2
-181.55,26.96,-20.26
-181.42,26.74,-20.32
-181.29,26.52,-20.38
-181.16,26.3,-20.44
-181.03,26.08,-20.5
-180.9,25.86,-20.56
-180.77,25.64,-20.62
-180.64,25.42,-20.68
-180.5,25.2,-20.74
-180.37,24.98,-20.8
-180.23,24.77,-20.86
-180.1,24.55,-20.92
-179.96,24.33,-20.97
-179.83,24.11,-21.03
-179.69,23.89,-21.09
-179.55,23.67,-21.15
-179.42,23.45,-21.21
-179.28,23.23,-21.27
-179.14,23.01,-21.33
-179.0,22.78,-21.38
-178.86,22.56,-21.44
-178.72,22.34,-21.5
-178.58,22.12,-21.56
-178.44,21.9,-21.61
-178.3,21.68,-21.67
-178.16,21.46,-21.73
-178.02,21.24,-21.79
-177.87,21.02,-21.84
-177.73,20.8,-21.9
-177.59,20.58,-21.96
-177.44,20.35,-22.02
-177.3,20.13,-22.07
-177.15,19.91,-22.13
-177.01,19.69,-22.19
-176.86,19.47,-22.24
-176.72,19.24,-22.3
-176.57,19.02,-22.36
-176.42,18.8,-22.41
-176.27,18.58,-22.47
-176.13,18.36,-22.53
-175.98,18.13,-22.58
-175.83,17.91,-22.64
-175.68,17.69,-22.69
-175.53,17.47,-22.75
-175.38,17.24,-22.81
-175.23,17.02,-22.86
-175.08,16.8,-22.92
-174.93,16.57,-22.97
-174.77,16.35,-23.03
-174.62,16.13,-23.08
-174.47,15.91,-23.14
-174.32,15.68,-23.19
-174.16,15.46,-23.25
-174.01,15.24,-23.3
-173.85,15.01,-23.36
-173.7,14.79,-23.41
-173.54,14.56,-23.47
-173.39,14.34,-23.52
-173.23,14.12,-23.58
-173.08,13.89,-23.63
-172.92,13.67,-23.69
-172.76,13.44,-23.74
-172.6,13.22,-23.8
-172.45,13.0,-23.85
-172.29,12.77,-23.9
-172.13,12.55,-23.96
-171.97,12.32,-24.01
-171.81,12.1,-24.07
-171.65,11.87,-24.12
-171.49,11.65,-24.17
-171.33,11.42,-24.23
-171.17,11.2,-24.28
-171.01,10.97,-24.34
-170.84,10.75,-24.39
-170.68,10.52,-24.44
-170.52,10.3,-24.5
-170.36,10.07,-24.55
-170.19,9.85,-24.6
-170.03,9.62,-24.65
-169.87,9.4,-24.71
-169.7,9.17,-24.76
-169.54,8.95,-24.81
-169.37,8.72,-24.87
-169.21,8.49,-24.92
-169.04,8.27,-24.97
-168.87,8.04,-25.02
-168.71,7.82,-25.08
-168.54,7.59,-25.13
-168.37,7.36,-25.18
-168.21,7.14,-25.23
-168.04,6.91,-25.29
-167.87,6.69,-25.34
-167.7,6.46,-25.39
-167.53,6.23,-25.44
-167.36,6.01,-25.5
-167.19,5.78,-25.55
-167.02,5.55,-25.6
-166.85,5.33,-25.65
-166.68,5.1,-25.7
-166.51,4.87,-25.75
-166.34,4.65,-25.81
-166.17,4.42,-25.86
-166.0,4.19,-25.91
-165.83,3.97,-25.96
-165.65,3.73,-26.01
-165.47,3.49,-26.06
-165.28,3.26,-26.12
-165.1,3.02,-26.17
-164.92,2.78,-26.22
-164.74,2.55,-26.27
-164.56,2.31,-26.32
-164.38,2.08,-26.37
-164.2,1.84,-26.42
-164.02,1.61,-26.48
-163.84,1.37,-26.53
-163.66,1.14,-26.58
-163.48,0.9,-26.63
-163.29,0.67,-26.68
-163.11,0.43,-26.73
-162.93,0.2,-26.78
-162.75,-0.04,-26.83
-162.57,-0.27,-26.88
-162.39,-0.5,-26.93
-162.21,-0.74,-26.98
-162.02,-0.97,-27.03
-161.84,-1.2,-27.08
-161.66,-1.43,-27.13
-161.48,-1.66,-27.18
-161.3,-1.89,-27.23
-161.11,-2.12,-27.27
-160.93,-2.35,-27.32
-160.75,-2.58,-27.37
-160.57,-2.81,-27.42
-160.38,-3.04,-27.46
-160.2,-3.27,-27.51
-160.02,-3.5,-27.56
-159.83,-3.72,-27.61
-159.65,-3.95,-27.65
-159.47,-4.17,-27.7
-159.28,-4.4,-27.74
-159.1,-4.62,-27.79
-158.91,-4.85,-27.83
-158.73,-5.07,-27.88
-158.54,-5.29,-27.92
-158.36,-5.51,-27.97
-158.17,-5.73,-28.01
-157.99,-5.95,-28.05
-157.8,-6.17,-28.09
-157.62,-6.39,-28.14
-157.43,-6.61,-28.18
-157.25,-6.83,-28.22
-157.06,-7.04,-28.26
-156.87,-7.26,-28.3
-156.69,-7.47,-28.34
-156.5,-7.69,-28.38
-156.31,-7.9,-28.42
-156.12,-8.11,-28.46
-155.94,-8.32,-28.5
-155.75,-8.53,-28.54
-155.56,-8.74,-28.57
-155.37,-8.95,-28.61
-155.18,-9.16,-28.65
-154.99,-9.37,-28.68
-154.8,-9.57,-28.72
-154.61,-9.78,-28.75
-154.42,-9.98,-28.79
-154.23,-10.18,-28.82
-154.04,-10.38,-28.85
-153.85,-10.58,-28.89
-153.66,-10.78,-28.92
-153.47,-10.98,-28.95
-153.28,-11.18,-28.98
-153.09,-11.37,-29.01
-152.89,-11.57,-29.04
-152.7,-11.76,-29.07
-152.51,-11.96,-29.1
-152.31,-12.15,-29.13
-152.12,-12.34,-29.15
-151.93,-12.53,-29.18
-151.73,-12.72,-29.21
-151.54,-12.9,-29.23
-151.34,-13.09,-29.26
-151.15,-13.27,-29.28
-150.95,-13.46,-29.31
-150.75,-13.64,-29.33
-150.56,-13.82,-29.35
-150.36,-14.0,-29.37
-150.16,-14.18,-29.4
-149.97,-14.36,-29.42
-149.77,-14.53,-29.44
-149.57,-14.71,-29.45
-149.37,-14.88,-29.47
-149.17,-15.06,-29.49
-148.97,-15.23,-29.51
-148.77,-15.4,-29.53
-148.58,-15.57,-29.54
-148.37,-15.73,-29.56
-148.17,-15.9,-29.57
-147.97,-16.06,-29.58
-147.77,-16.23,-29.6
-147.57,-16.39,-29.61
-147.37,-16.55,-29.62
-147.16,-16.71,-29.63
-146.96,-16.87,-29.64
-146.76,-17.03,-29.65
-146.55,-17.18,-29.66
-146.35,-17.34,-29.67
-146.15,-17.49,-29.68
-145.94,-17.64,-29.68
-145.74,-17.79,-29.69
-145.53,-17.94,-29.7
-145.32,-18.09,-29.7
-145.12,-18.23,-29.7
-144.91,-18.38,-29.71
-144.7,-18.52,-29.71
-144.5,-18.66,-29.71
-144.29,-18.8,-29.71
-144.08,-18.94,-29.71
-143.87,-19.08,-29.71
-143.66,-19.22,-29.71
